,Date,Description,Amount,Transaction Type,Category,Account Name
2,01-02-2018,Thai Foods,24.22,debit,Foods,Silver Card
5,01-05-2018,American Tavern,25.85,debit,Foods,Silver Card
14,01/13/2018,Pizza Place,32.91,debit,Foods,Platinum Card
17,01/15/2018,American Tavern,64.11,debit,Foods,Silver Card
27,01/24/2018,Starbucks,3.0,debit,Foods,Platinum Card
30,01/29/2018,Thai Foods,25.0,debit,Foods,Silver Card
31,01/29/2018,Brunch Foods,17.62,debit,Foods,Platinum Card
36,02-03-2018,Japanese Foods,57.02,debit,Foods,Platinum Card
44,02-10-2018,Bojangles,10.66,debit,Foods,Platinum Card
45,02-11-2018,Fancy Foods,106.8,debit,Foods,Platinum Card
48,02/14/2018,Brewing Company,14.0,debit,Foods,Silver Card
49,02/15/2018,American Tavern,10.0,debit,Foods,Platinum Card
52,02/16/2018,Brunch Foods,8.0,debit,Foods,Silver Card
55,02/20/2018,Mexican Foods,23.51,debit,Foods,Silver Card
56,02/21/2018,Starbucks,2.0,debit,Foods,Platinum Card
57,02/22/2018,Starbucks,4.0,debit,Foods,Silver Card
62,02/26/2018,American Tavern,85.52,debit,Foods,Silver Card
72,03-04-2018,BBQ Foods,42.24,debit,Foods,Platinum Card
73,03-05-2018,Starbucks,3.0,debit,Foods,Platinum Card
76,03-07-2018,Starbucks,3.5,debit,Foods,Platinum Card
86,03/14/2018,Brunch Foods,8.49,debit,Foods,Platinum Card
87,03/15/2018,Starbucks,3.5,debit,Foods,Platinum Card
90,03/17/2018,Brewing Company,19.5,debit,Foods,Silver Card
91,03/17/2018,Pizza Place,23.34,debit,Foods,Platinum Card
92,03/19/2018,Mediterranean Foods,36.48,debit,Foods,Silver Card
101,03/28/2018,Pizza Place,24.98,debit,Foods,Silver Card
102,03/29/2018,Steakhouse,17.64,debit,Foods,Silver Card
105,03/31/2018,Belgian Foods,38.32,debit,Foods,Platinum Card
106,03/31/2018,Chili's,24.74,debit,Foods,Platinum Card
107,03/31/2018,Greek Foods,41.16,debit,Foods,Silver Card
109,04-01-2018,Brewing Company,59.48,debit,Foods,Platinum Card
121,04-06-2018,Tiny Deli,9.76,debit,Foods,Platinum Card
122,04-08-2018,Irish Pub,22.0,debit,Foods,Platinum Card
127,04-12-2018,Starbucks,7.0,debit,Foods,Platinum Card
131,04/13/2018,American Tavern,10.66,debit,Foods,Platinum Card
133,04/14/2018,American Tavern,41.0,debit,Foods,Platinum Card
137,04/20/2018,Thai Foods,24.22,debit,Foods,Silver Card
139,04/21/2018,American Tavern,35.15,debit,Foods,Silver Card
161,05-05-2018,Bojangles,7.27,debit,Foods,Platinum Card
162,05-05-2018,Pizza Place,20.52,debit,Foods,Platinum Card
173,05-12-2018,Liquor Store,27.77,debit,Foods,Platinum Card
175,05-12-2018,Fancy Foods,78.0,debit,Foods,Platinum Card
184,05/19/2018,Greek Foods,23.26,debit,Foods,Silver Card
186,05/21/2018,Thai Foods,26.04,debit,Foods,Silver Card
201,06-03-2018,Italian Foods,65.81,debit,Foods,Platinum Card
206,06-06-2018,Starbucks,4.0,debit,Foods,Platinum Card
