,Date,Description,Amount,Transaction Type,Category,Account Name
12,01-11-2018,Grocery Store,43.54,debit,Groceries,Platinum Card
16,01/15/2018,Grocery Store,44.19,debit,Groceries,Silver Card
32,02-01-2018,Grocery Store,27.79,debit,Groceries,Platinum Card
54,02/20/2018,Grocery Store,35.95,debit,Groceries,Silver Card
65,03-01-2018,Grocery Store,32.07,debit,Groceries,Silver Card
69,03-03-2018,Grocery Store,23.74,debit,Groceries,Silver Card
70,03-04-2018,Grocery Store,10.69,debit,Groceries,Platinum Card
79,03-09-2018,Grocery Store,20.72,debit,Groceries,Platinum Card
80,03-09-2018,Grocery Store,5.09,debit,Groceries,Platinum Card
82,03-12-2018,Grocery Store,19.35,debit,Groceries,Platinum Card
85,03/14/2018,Grocery Store,22.5,debit,Groceries,Platinum Card
98,03/23/2018,Grocery Store,11.76,debit,Groceries,Silver Card
100,03/28/2018,Grocery Store,16.06,debit,Groceries,Silver Card
103,03/30/2018,Grocery Store,9.09,debit,Groceries,Silver Card
108,04-01-2018,Grocery Store,80.79,debit,Groceries,Platinum Card
113,04-02-2018,Grocery Store,82.36,debit,Groceries,Platinum Card
123,04-09-2018,Blue Sky Market,6.48,debit,Groceries,Silver Card
138,04/21/2018,Grocery Store,4.32,debit,Groceries,Silver Card
140,04/22/2018,Grocery Store,21.32,debit,Groceries,Platinum Card
151,04/28/2018,Grocery Store,22.98,debit,Groceries,Silver Card
153,04/29/2018,Grocery Store,51.05,debit,Groceries,Platinum Card
155,04/30/2018,Grocery Store,5.09,debit,Groceries,Platinum Card
159,05-04-2018,Grocery Store,42.23,debit,Groceries,Platinum Card
170,05-11-2018,Grocery Store,57.32,debit,Groceries,Platinum Card
176,05/14/2018,Grocery Store,67.63,debit,Groceries,Silver Card
183,05/19/2018,Grocery Store,31.0,debit,Groceries,Silver Card
193,05/28/2018,Grocery Store,91.03,debit,Groceries,Silver Card
197,06-01-2018,Grocery Store,6.11,debit,Groceries,Platinum Card
203,06-04-2018,Grocery Store,24.12,debit,Groceries,Platinum Card
210,06-09-2018,Grocery Store,9.56,debit,Groceries,Platinum Card
212,06-10-2018,Grocery Store,46.01,debit,Groceries,Platinum Card
213,06-12-2018,Grocery Store,12.55,debit,Groceries,Platinum Card
217,06/14/2018,Grocery Store,7.02,debit,Groceries,Platinum Card
221,06/16/2018,Grocery Store,13.9,debit,Groceries,Platinum Card
224,06/19/2018,Grocery Store,2.69,debit,Groceries,Platinum Card
235,06/26/2018,Grocery Store,9.62,debit,Groceries,Silver Card
238,06/28/2018,Grocery Store,7.57,debit,Groceries,Silver Card
245,07-05-2018,Grocery Store,44.25,debit,Groceries,Silver Card
254,07-10-2018,Grocery Store,5.39,debit,Groceries,Silver Card
268,07/21/2018,Grocery Store,28.93,debit,Groceries,Platinum Card
275,07/28/2018,Grocery Store,7.61,debit,Groceries,Silver Card
282,08-03-2018,Grocery Store,6.27,debit,Groceries,Silver Card
294,08/15/2018,Grocery Store,5.64,debit,Groceries,Platinum Card
309,08/31/2018,Grocery Store,11.64,debit,Groceries,Platinum Card
322,09-11-2018,Grocery Store,7.87,debit,Groceries,Platinum Card
323,09-12-2018,Grocery Store,47.16,debit,Groceries,Platinum Card
325,09/13/2018,Grocery Store,5.64,debit,Groceries,Platinum Card
328,09/17/2018,Grocery Store,10.17,debit,Groceries,Platinum Card
329,09/17/2018,Grocery Store,8.8,debit,Groceries,Platinum Card
331,09/18/2018,Grocery Store,4.32,debit,Groceries,Platinum Card
346,09/28/2018,Grocery Store,13.36,debit,Groceries,Platinum Card
