,Date,Description,Amount,Transaction Type,Category,Account Name
9,01-09-2018,Spotify,10.69,debit,Misc,Platinum Card
11,01-11-2018,Shell,34.87,debit,Misc,Platinum Card
29,01/29/2018,Shell,30.42,debit,Misc,Silver Card
42,02-09-2018,Barbershop,30.0,debit,Misc,Platinum Card
43,02-09-2018,Spotify,10.69,debit,Misc,Platinum Card
46,02-12-2018,Shell,36.47,debit,Misc,Silver Card
63,02/26/2018,Gas Station,32.21,debit,Misc,Silver Card
77,03-08-2018,BP,34.9,debit,Misc,Platinum Card
81,03-09-2018,Spotify,10.69,debit,Misc,Platinum Card
95,03/22/2018,BP,30.55,debit,Misc,Silver Card
120,04-06-2018,Chevron,4.58,debit,Misc,Platinum Card
124,04-09-2018,Spotify,10.69,debit,Misc,Platinum Card
128,04-12-2018,Barbershop,30.0,debit,Misc,Platinum Card
129,04/13/2018,BP,37.98,debit,Misc,Platinum Card
134,04/16/2018,State Farm,75.0,debit,Misc,Checking
152,04/29/2018,QuikTrip,39.0,debit,Misc,Platinum Card
167,05-09-2018,Spotify,10.69,debit,Misc,Platinum Card
174,05-12-2018,Shell,33.3,debit,Misc,Platinum Card
178,05/17/2018,Barbershop,29.0,debit,Misc,Silver Card
180,05/18/2018,State Farm,75.0,debit,Misc,Checking
189,05/24/2018,BP,39.44,debit,Misc,Silver Card
196,06-01-2018,BP,38.63,debit,Misc,Platinum Card
211,06-09-2018,Spotify,10.69,debit,Misc,Platinum Card
223,06/19/2018,Shell,38.52,debit,Misc,Platinum Card
225,06/20/2018,State Farm,75.0,debit,Misc,Checking
227,06/20/2018,Barbershop,30.0,debit,Misc,Silver Card
243,07-04-2018,BP,34.48,debit,Misc,Silver Card
252,07-09-2018,Spotify,10.69,debit,Misc,Platinum Card
257,07/14/2018,Go Mart,33.51,debit,Misc,Silver Card
258,07/15/2018,Circle K,36.24,debit,Misc,Platinum Card
263,07/18/2018,State Farm,75.0,debit,Misc,Checking
269,07/21/2018,Barbershop,30.0,debit,Misc,Platinum Card
274,07/26/2018,Conoco,33.67,debit,Misc,Silver Card
280,08-02-2018,Shell,40.44,debit,Misc,Silver Card
286,08-09-2018,Spotify,10.69,debit,Misc,Platinum Card
290,08-11-2018,Valero,33.66,debit,Misc,Platinum Card
293,08/15/2018,Shell,41.07,debit,Misc,Platinum Card
301,08/20/2018,State Farm,75.0,debit,Misc,Checking
308,08/30/2018,Shell,35.65,debit,Misc,Platinum Card
320,09-09-2018,Spotify,10.69,debit,Misc,Platinum Card
321,09-11-2018,BP,38.86,debit,Misc,Platinum Card
333,09/19/2018,State Farm,75.0,debit,Misc,Checking
334,09/19/2018,Barbershop,30.0,debit,Misc,Platinum Card
341,09/26/2018,Exxon,38.0,debit,Misc,Silver Card
342,09/27/2018,Valero,40.71,debit,Misc,Platinum Card
359,10-08-2018,Shell,38.06,debit,Misc,Silver Card
362,10-09-2018,Spotify,10.69,debit,Misc,Platinum Card
370,10/18/2018,State Farm,75.0,debit,Misc,Checking
377,10/22/2018,BP,34.66,debit,Misc,Platinum Card
394,11-05-2018,Shell,36.51,debit,Misc,Platinum Card
398,11-09-2018,Spotify,10.69,debit,Misc,Platinum Card
416,11/19/2018,QuikTrip,29.15,debit,Misc,Silver Card
418,11/20/2018,State Farm,75.0,debit,Misc,Checking
434,12-03-2018,BP,30.03,debit,Misc,Silver Card
443,12-07-2018,Barbershop,30.0,debit,Misc,Platinum Card
446,12-09-2018,Spotify,10.69,debit,Misc,Platinum Card
454,12/17/2018,BP,20.01,debit,Misc,Silver Card
463,12/19/2018,State Farm,75.0,debit,Misc,Checking
466,12/20/2018,Shell,30.38,debit,Misc,Silver Card
474,12/26/2018,Shell,32.47,debit,Misc,Platinum Card
475,12/26/2018,Shell,7.48,debit,Misc,Platinum Card
492,01-09-2019,Spotify,10.69,debit,Misc,Platinum Card
494,01-10-2019,Barbershop,30.0,debit,Misc,Silver Card
496,01/14/2019,Shell,28.92,debit,Misc,Silver Card
500,01/18/2019,State Farm,75.0,debit,Misc,Checking
509,01/31/2019,Shell,31.32,debit,Misc,Silver Card
519,02-09-2019,Spotify,10.69,debit,Misc,Platinum Card
522,02-11-2019,BP,24.01,debit,Misc,Platinum Card
536,02/20/2019,State Farm,75.0,debit,Misc,Checking
538,02/20/2019,Barbershop,30.0,debit,Misc,Platinum Card
541,02/25/2019,BP,33.8,debit,Misc,Silver Card
552,03-08-2019,BP,34.08,debit,Misc,Platinum Card
555,03-09-2019,Spotify,10.69,debit,Misc,Platinum Card
565,03/18/2019,Best Buy,320.99,debit,Misc,Platinum Card
569,03/20/2019,State Farm,75.0,debit,Misc,Checking
570,03/22/2019,BP,37.51,debit,Misc,Platinum Card
590,04-09-2019,Barbershop,30.0,debit,Misc,Platinum Card
591,04-09-2019,Spotify,10.69,debit,Misc,Platinum Card
593,04-12-2019,Best Buy,44.93,debit,Misc,Silver Card
596,04/13/2019,QuikTrip,38.94,debit,Misc,Platinum Card
601,04/18/2019,State Farm,75.0,debit,Misc,Checking
616,04/30/2019,BP,39.08,debit,Misc,Platinum Card
623,05-09-2019,Best Buy,331.69,debit,Misc,Platinum Card
624,05-09-2019,Spotify,10.69,debit,Misc,Platinum Card
627,05-10-2019,Best Buy,21.39,debit,Misc,Silver Card
631,05/13/2019,QuikTrip,35.24,debit,Misc,Silver Card
638,05/20/2019,State Farm,75.0,debit,Misc,Checking
645,05/25/2019,QuikTrip,36.76,debit,Misc,Platinum Card
655,06-04-2019,Barbershop,30.0,debit,Misc,Platinum Card
664,06-09-2019,Spotify,10.69,debit,Misc,Platinum Card
669,06/15/2019,BP,33.16,debit,Misc,Silver Card
673,06/18/2019,Shell,41.83,debit,Misc,Silver Card
674,06/19/2019,State Farm,75.0,debit,Misc,Checking
681,06/28/2019,BP,30.64,debit,Misc,Silver Card
700,07-09-2019,Spotify,10.69,debit,Misc,Platinum Card
707,07/18/2019,State Farm,75.0,debit,Misc,Checking
709,07/18/2019,BP,36.42,debit,Misc,Silver Card
719,07/27/2019,Barbershop,30.0,debit,Misc,Silver Card
728,08-03-2019,BP,36.36,debit,Misc,Platinum Card
739,08-09-2019,Spotify,10.69,debit,Misc,Platinum Card
750,08/17/2019,Barbershop,19.0,debit,Misc,Platinum Card
753,08/20/2019,State Farm,75.0,debit,Misc,Checking
755,08/21/2019,Shell,34.69,debit,Misc,Platinum Card
775,09-09-2019,Shell,28.77,debit,Misc,Platinum Card
778,09-09-2019,Spotify,10.69,debit,Misc,Platinum Card
792,09/18/2019,State Farm,75.0,debit,Misc,Checking
802,09/28/2019,BP,33.46,debit,Misc,Platinum Card
803,09/28/2019,Sheetz,4.27,debit,Misc,Platinum Card
