,Date,Description,Amount,Transaction Type,Category,Account Name
13,01-12-2018,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
20,01/19/2018,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
35,02-02-2018,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
51,02/16/2018,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
68,03-02-2018,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
89,03/16/2018,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
104,03/30/2018,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
130,04/13/2018,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
150,04/27/2018,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
171,05-11-2018,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
191,05/25/2018,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
207,06-08-2018,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
229,06/22/2018,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
248,07-06-2018,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
267,07/20/2018,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
283,08-03-2018,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
298,08/17/2018,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
310,08/31/2018,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
327,09/14/2018,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
347,09/28/2018,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
367,10-12-2018,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
381,10/26/2018,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
399,11-09-2018,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
422,11/23/2018,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
444,12-07-2018,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
468,12/21/2018,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
486,01-04-2019,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
501,01/18/2019,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
510,02-01-2019,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
529,02/15/2019,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
545,03-01-2019,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
563,03/15/2019,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
576,03/29/2019,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
595,04-12-2019,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
610,04/26/2019,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
629,05-10-2019,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
643,05/24/2019,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
662,06-07-2019,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
679,06/21/2019,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
692,07-05-2019,Biweekly Paycheck,2250.0,credit,Paycheck,Checking
713,07/19/2019,Biweekly Paycheck,2250.0,credit,Paycheck,Checking
727,08-02-2019,Biweekly Paycheck,2250.0,credit,Paycheck,Checking
746,08/16/2019,Biweekly Paycheck,2250.0,credit,Paycheck,Checking
762,08/30/2019,Biweekly Paycheck,2250.0,credit,Paycheck,Checking
784,09/13/2019,Biweekly Paycheck,2250.0,credit,Paycheck,Checking
801,09/27/2019,Biweekly Paycheck,2250.0,credit,Paycheck,Checking
