,Date,Description,Amount,Transaction Type,Category,Account Name
0,01-01-2018,Amazon,11.11,debit,Shopping,Platinum Card
15,01/13/2018,Amazon,39.05,debit,Shopping,Platinum Card
21,01/20/2018,Amazon,50.21,debit,Shopping,Platinum Card
33,02-01-2018,Amazon,11.11,debit,Shopping,Platinum Card
66,03-01-2018,Amazon,13.13,debit,Shopping,Platinum Card
84,03/13/2018,Amazon,45.75,debit,Shopping,Platinum Card
94,03/20/2018,Amazon,14.97,debit,Shopping,Platinum Card
110,04-01-2018,Amazon,13.13,debit,Shopping,Platinum Card
143,04/24/2018,Amazon,41.34,debit,Shopping,Platinum Card
156,05-01-2018,Amazon,13.13,debit,Shopping,Platinum Card
158,05-03-2018,Amazon,49.72,debit,Shopping,Platinum Card
164,05-06-2018,Amazon,117.69,debit,Shopping,Platinum Card
181,05/18/2018,Amazon,6.41,debit,Shopping,Platinum Card
187,05/21/2018,Amazon,32.5,debit,Shopping,Platinum Card
198,06-01-2018,Amazon,13.13,debit,Shopping,Platinum Card
231,06/23/2018,Amazon,74.97,debit,Shopping,Platinum Card
239,07-01-2018,Amazon,13.13,debit,Shopping,Platinum Card
246,07-05-2018,Amazon,212.32,debit,Shopping,Platinum Card
278,08-01-2018,Amazon,13.13,debit,Shopping,Platinum Card
285,08-06-2018,Amazon,76.47,debit,Shopping,Platinum Card
299,08/17/2018,Amazon,14.98,debit,Shopping,Platinum Card
300,08/18/2018,Amazon,23.47,debit,Shopping,Platinum Card
312,09-01-2018,Amazon,13.13,debit,Shopping,Platinum Card
313,09-02-2018,Amazon,109.83,debit,Shopping,Platinum Card
335,09/20/2018,Amazon,47.38,debit,Shopping,Platinum Card
353,10-01-2018,Amazon,13.13,debit,Shopping,Platinum Card
363,10-09-2018,Amazon,19.98,debit,Shopping,Platinum Card
380,10/25/2018,Amazon,29.98,debit,Shopping,Platinum Card
388,11-01-2018,Amazon,13.13,debit,Shopping,Platinum Card
395,11-06-2018,Amazon,53.95,debit,Shopping,Platinum Card
433,12-01-2018,Amazon,13.13,debit,Shopping,Platinum Card
460,12/18/2018,Amazon,49.99,debit,Shopping,Platinum Card
461,12/18/2018,Amazon,41.72,debit,Shopping,Platinum Card
462,12/18/2018,Amazon,24.3,debit,Shopping,Platinum Card
464,12/19/2018,Amazon,43.01,debit,Shopping,Platinum Card
477,12/26/2018,Amazon,44.99,debit,Shopping,Platinum Card
482,01-01-2019,Amazon,13.09,debit,Shopping,Platinum Card
485,01-03-2019,Amazon,42.1,debit,Shopping,Platinum Card
505,01/24/2019,Amazon,11.7,debit,Shopping,Platinum Card
506,01/24/2019,Amazon,4.21,debit,Shopping,Platinum Card
512,02-01-2019,Amazon,13.09,debit,Shopping,Platinum Card
533,02/16/2019,Amazon,37.45,debit,Shopping,Platinum Card
546,03-01-2019,Amazon,13.09,debit,Shopping,Platinum Card
553,03-08-2019,Amazon,27.17,debit,Shopping,Platinum Card
567,03/19/2019,Amazon,13.84,debit,Shopping,Platinum Card
573,03/26/2019,Amazon,16.04,debit,Shopping,Platinum Card
581,04-01-2019,Amazon,13.09,debit,Shopping,Platinum Card
584,04-04-2019,Amazon,35.9,debit,Shopping,Platinum Card
586,04-06-2019,Amazon,27.54,debit,Shopping,Platinum Card
617,05-01-2019,Amazon,13.09,debit,Shopping,Platinum Card
621,05-06-2019,Amazon,16.94,debit,Shopping,Platinum Card
622,05-07-2019,Amazon,38.56,debit,Shopping,Platinum Card
625,05-09-2019,Target,3.2,debit,Shopping,Platinum Card
651,06-01-2019,Amazon,13.09,debit,Shopping,Platinum Card
687,07-01-2019,Amazon,13.09,debit,Shopping,Platinum Card
704,07/16/2019,Amazon,89.99,debit,Shopping,Platinum Card
725,08-01-2019,Amazon,13.09,debit,Shopping,Platinum Card
765,09-01-2019,Amazon,13.09,debit,Shopping,Platinum Card
786,09/15/2019,Amazon,47.66,debit,Shopping,Platinum Card
800,09/23/2019,Amazon,24.63,debit,Shopping,Platinum Card
